trial_id,game_id,rt,trial_num,slider_num_agents,slider_recipe,trial_stim,true_num_agents,true_recipe,slider_min_agents,slider_max_agents,slider_min_recipe,slider_max_recipe
da902ea7-3c9e-490d-957d-0fda919efb3e,1454-d52968ee-9b64-4c32-b520-c042b0d902d6,8066.899999976158,7.0,4,50,1agent-either_recipe,1agent,either_recipe,1agent,2agent,tomato,onion
5031f162-feb6-4d67-b4c7-f79f490a6707,1454-d52968ee-9b64-4c32-b520-c042b0d902d6,15362.700000047684,8.0,6,2,2agent-onion,2agent,onion,1agent,2agent,tomato,onion
1285383c-1bcb-4044-80c0-9332a35e2b71,6045-e676ca1c-493e-4cea-8327-14e7f064b27a,21853.5,0.0,100,50,2agent-either_recipe,2agent,either_recipe,1agent,2agent,tomato,onion
cc7f6140-c64c-421a-92f3-802796521207,6045-e676ca1c-493e-4cea-8327-14e7f064b27a,11174.19999998808,1.0,100,49,2agent-tomato,2agent,tomato,1agent,2agent,tomato,onion
9fdc8420-9fa5-4154-af44-ac464d7e2c5c,6045-e676ca1c-493e-4cea-8327-14e7f064b27a,17517.30000001192,2.0,0,50,1agent-either_recipe,1agent,either_recipe,1agent,2agent,tomato,onion
48e7d4d9-dcbf-4daf-82f0-6576efffce9e,6045-e676ca1c-493e-4cea-8327-14e7f064b27a,8211.600000023842,3.0,100,50,either_agents-either_recipe,either_agents,either_recipe,1agent,2agent,tomato,onion
bc5fb5c4-83c2-414c-b2b7-ac95855ed046,6045-e676ca1c-493e-4cea-8327-14e7f064b27a,5303.800000011921,4.0,0,100,1agent-onion,1agent,onion,1agent,2agent,tomato,onion
5589fe3c-d695-4d9b-934c-b82f1d5ca95b,6045-e676ca1c-493e-4cea-8327-14e7f064b27a,3271.399999976158,5.0,0,0,1agent-tomato,1agent,tomato,1agent,2agent,tomato,onion
7a8e5b69-e791-42bf-a01d-a781cf076fa6,6045-e676ca1c-493e-4cea-8327-14e7f064b27a,4890.600000023842,6.0,100,0,either_agents-tomato,either_agents,tomato,1agent,2agent,tomato,onion
90430c67-40ec-45d9-9d9b-faaf000de1de,6045-e676ca1c-493e-4cea-8327-14e7f064b27a,4185.899999976158,7.0,100,100,either_agents-onion,either_agents,onion,1agent,2agent,tomato,onion
e463cc52-452d-43e3-8705-654485ade85d,6045-e676ca1c-493e-4cea-8327-14e7f064b27a,5598.5,8.0,100,50,2agent-onion,2agent,onion,1agent,2agent,tomato,onion
606f6197-978e-48af-b098-298d1586a647,2960-f1d86ca3-e144-4f85-88a1-633b77154c8e,25863.30000001192,0.0,77,48,either_agents-onion,either_agents,onion,1agent,2agent,tomato,onion
9caeaff0-90d7-4784-aa87-654f18a71cfe,2960-f1d86ca3-e144-4f85-88a1-633b77154c8e,11342.69999998808,1.0,70,32,either_agents-either_recipe,either_agents,either_recipe,1agent,2agent,tomato,onion
3497ed96-4d98-491b-abba-064ec0804ed0,2960-f1d86ca3-e144-4f85-88a1-633b77154c8e,16061.399999976158,2.0,9,24,1agent-tomato,1agent,tomato,1agent,2agent,tomato,onion
89116d94-7f00-46b1-b33c-0ed24450c55e,2960-f1d86ca3-e144-4f85-88a1-633b77154c8e,10022.69999998808,3.0,23,50,1agent-either_recipe,1agent,either_recipe,1agent,2agent,tomato,onion
